host,model,backend,device,cpu_watts_mean,cpu_watts_std,cpu_util_percent_mean,cpu_util_percent_std,cpu_temp_c_mean,cpu_temp_c_std,duration_sec,num_samples
edge,resnet50,stock,cpu,98.104000,22.076506,39.135000,9.278485,80.700000,9.138381,19.004,20
robot,resnet50,stock,cpu,9.407692,0.995846,98.380342,11.079813,94.350427,3.499246,116.011,117
edge,swin_t_sol,stock,cpu,94.504783,27.853706,37.908696,11.797454,78.956522,8.629969,22.005,23
robot,swin_t_sol,stock,cpu,9.181259,0.730577,99.118881,8.442118,94.244755,3.942270,142.022,143
edge,swin_t_sol,vaccel-local,cpu,97.561364,21.560988,39.209091,9.150554,77.500000,8.973446,21.004,22
edge,swin_t_sol,vaccel-remote,cpu,16.516667,2.584265,11.398333,2.552025,43.216667,1.367378,59.009,60
robot,swin_t_sol,vaccel-remote,cpu_target-cpu,1.362034,0.121582,15.103390,2.889723,50.491525,1.063618,58.017,59
robot,swin_t_sol,vaccel-remote,cpu_target-gpu,1.360000,0.101008,28.581818,4.296955,51.441558,2.159206,77.352,77
edge,swin_t,stock,cpu,96.449231,19.363552,39.700000,8.336620,75.807692,9.135810,25.005,26
robot,swin_t,stock,cpu,9.380609,0.695375,95.595431,7.495300,93.426396,3.897274,196.039,197
