host,model,backend,device,cpu_watts_mean,cpu_watts_std,cpu_util_percent_mean,cpu_util_percent_std,cpu_temp_c_mean,cpu_temp_c_std,duration_sec,num_samples
edge,swin3d_t_sol,stock,cpu,66.661538,17.323662,32.296154,8.716672,74.423077,6.184180,25.004,26
robot,swin3d_t_sol,stock,cpu,9.940667,2.044492,82.708889,17.567379,92.200000,7.652451,44.011,45
edge,swin3d_t,stock,cpu,65.827778,17.710470,32.592593,8.973167,73.629630,6.842937,26.004,27
robot,swin3d_t,stock,cpu,9.869592,1.918162,80.751020,16.103531,90.938776,7.802167,48.014,49
edge,swin_s_sol,stock,cpu,102.287368,21.915089,39.713158,8.963557,82.368421,7.484795,37.007,38
robot,swin_s_sol,stock,cpu,10.397025,0.934071,98.861157,9.301776,93.942149,4.833248,120.011,121
edge,swin_s,stock,cpu,102.226531,16.456451,40.502041,6.806704,83.877551,7.138949,48.009,49
robot,swin_s,stock,cpu,10.031497,0.773000,94.539572,7.734535,91.058824,3.655157,186.037,187
edge,swin_t_sol,stock,cpu,94.504783,27.853706,37.908696,11.797454,78.956522,8.629969,22.005,23
robot,swin_t_sol,stock,cpu,9.181259,0.730577,99.118881,8.442118,94.244755,3.942270,142.022,143
edge,swin_t_sol,vaccel-local,cpu,97.561364,21.560988,39.209091,9.150554,77.500000,8.973446,21.004,22
edge,swin_t_sol,vaccel-remote,cpu,16.516667,2.584265,11.398333,2.552025,43.216667,1.367378,59.009,60
robot,swin_t_sol,vaccel-remote,cpu_target-cpu,1.362034,0.121582,15.103390,2.889723,50.491525,1.063618,58.017,59
robot,swin_t_sol,vaccel-remote,cpu_target-gpu,1.360000,0.101008,28.581818,4.296955,51.441558,2.159206,77.352,77
edge,swin_t,stock,cpu,96.449231,19.363552,39.700000,8.336620,75.807692,9.135810,25.005,26
robot,swin_t,stock,cpu,9.380609,0.695375,95.595431,7.495300,93.426396,3.897274,196.039,197
edge,swin_v2_b_sol,stock,cpu,102.720548,14.064660,41.172603,5.032640,85.041096,6.506979,72.015,73
robot,swin_v2_b_sol,stock,cpu,10.288996,0.617250,99.165233,6.290128,94.362007,3.524841,278.025,279
edge,swin_v2_b,stock,cpu,101.794651,11.187402,41.237209,4.735689,84.337209,5.354004,85.018,86
robot,swin_v2_b,stock,cpu,9.992617,0.509135,86.798072,4.730893,91.289256,3.991254,362.133,363
